regime,sigma.sq
hard,0.000150641
hard,9.65E-05
hard,0.000263861
hard,0.000249361
hard,8.13E-05
hard,7.38E-05
hard,0.00011871
hard,0.000107235
hard,0.000356641
hard,9.27E-05
hard,6.66E-05
hard,0.000302339
hard,0.000108297
hard,0.000276705
hard,0.00014961
hard,7.17E-05
hard,9.79E-05
hard,0.000253076
hard,7.40E-05
hard,9.31E-05
hard,9.48E-05
hard,0.000279711
hard,0.00036587
hard,7.57E-05
hard,8.03E-05
hard,9.97E-05
hard,7.19E-05
hard,0.000105365
hard,0.000267219
hard,0.000299099
hard,7.06E-05
hard,0.000309303
hard,0.000248296
hard,9.45E-05
hard,7.40E-05
hard,9.04E-05
hard,7.28E-05
hard,9.40E-05
hard,0.000321719
hard,9.88E-05
hard,0.000291704
hard,7.82E-05
hard,0.000322615
hard,7.48E-05
hard,0.000314666
hard,0.000105397
hard,8.72E-05
hard,0.000287571
hard,9.28E-05
hard,8.11E-05
hard,0.000107712
hard,0.000122446
hard,0.000151537
hard,0.000113087
hard,6.78E-05
hard,7.82E-05
hard,9.19E-05
soft,0.000205771
soft,0.000203449
soft,0.000199787
soft,0.000202816
soft,0.000194092
soft,0.000193517
soft,0.000239714
soft,0.000200267
soft,0.000200734
soft,0.000215403
soft,0.000188615
soft,0.000212982
soft,0.000216039
soft,0.000198199
soft,0.00019916
soft,0.000208171
soft,0.000221457
soft,0.000198497
soft,0.000194887
soft,0.000206196
soft,0.000228958
soft,0.000195711
soft,0.000223529
soft,0.000212151
soft,0.000221958
soft,0.000220691
soft,0.000231035
soft,0.000221966
soft,0.000199401
soft,0.00019703
soft,0.00021284
soft,0.000198217
soft,0.000204561
soft,0.000194739
soft,0.000204669
soft,0.000195392
soft,0.000213315
soft,0.000194357
soft,0.000209119
soft,0.000200671
soft,0.000212188
soft,0.000231726
soft,0.000195248
soft,0.00021701
soft,0.000206631
soft,0.000230458
soft,0.000186251
soft,0.000191667
soft,0.000224207
soft,0.000212043
soft,0.000222389
soft,0.000197514
soft,0.000189124
soft,0.000194511
soft,0.000204611
soft,0.000218458
soft,0.000204437
soft,0.000203083
soft,0.000196753
soft,0.000236641
soft,0.000218904
soft,0.000208817
soft,0.000217545
soft,0.000197138
soft,0.000213583
soft,0.000204794
soft,0.000209521
soft,0.000192665
soft,0.000221825
soft,0.000227645
soft,0.000217111
soft,0.000229695
soft,0.000199566
soft,0.00022289
soft,0.000196832
soft,0.000219906
soft,0.000199221
soft,0.000224308
soft,0.000198072
soft,0.000197868
soft,0.000231922
soft,0.000205926
soft,0.000203493
soft,0.000231162
soft,0.000228831
soft,0.000209405
soft,0.000195803
soft,0.000216078
soft,0.000219723
soft,0.000208426
soft,0.000192778
soft,0.000197651
soft,0.000195599
soft,0.000222096
soft,0.000234746
soft,0.000203835
soft,0.000202955
soft,0.000220438
soft,0.000192834
soft,0.00019582
soft,0.000194708
soft,0.000194599
soft,0.000219574
soft,0.000234624
soft,0.000197811
soft,0.0002121
soft,0.000195227
soft,0.000215191
soft,0.000207823
soft,0.000228732
soft,0.000226622
soft,0.00023241
soft,0.000204576
soft,0.000199453
soft,0.000196331
soft,0.000204342
soft,0.000212695
soft,0.000206699
soft,0.000204193
soft,0.000211433
soft,0.000195789
soft,0.000215477
soft,0.00018889
soft,0.000229885
soft,0.000215743
soft,0.000195213
soft,0.000215551
soft,0.00021242
soft,0.000197754
soft,0.000214558
soft,0.00019381
soft,0.000223418
soft,0.000197313
soft,0.000216329
soft,0.000207295
soft,0.000229545
soft,0.000195132
soft,0.000190791
soft,0.000200305
soft,0.000228713
soft,0.000205959
soft,0.000208367
soft,0.000225392
soft,0.000194271
soft,0.000202427
soft,0.000198354
soft,0.000200338
soft,0.000220844
soft,0.000204517
soft,0.000198529
soft,0.000187213
soft,0.00020613
soft,0.000203076
soft,0.000196936
soft,0.000207992
soft,0.000214452
soft,0.000219186
soft,0.000199849
soft,0.00019496
soft,0.000198197
soft,0.000231049
soft,0.000210454
soft,0.000193811
soft,0.000203095
soft,0.000209479
soft,0.00021991
soft,0.000196194
soft,0.000221659
soft,0.000194541
soft,0.000198407
soft,0.0002071
soft,0.000203331
soft,0.000196311
soft,0.00020815
soft,0.000198993
soft,0.000217131
soft,0.000232201
soft,0.000205244
soft,0.000228344
soft,0.000208005
soft,0.000195459
soft,0.000208337
soft,0.000205216
soft,0.000220526
soft,0.000194517
soft,0.0002031
soft,0.000188729
soft,0.000193655
soft,0.000229306
soft,0.000202321
soft,0.000198995
soft,0.000205756
soft,0.000195443
soft,0.000217472
soft,0.000213614
soft,0.000230067
soft,0.00019333
soft,0.000222925
soft,0.000227052
soft,0.000194973
soft,0.000215815
soft,0.000202286
soft,0.000233712
soft,0.000213802
soft,0.000193182
soft,0.000195239
soft,0.000204986
soft,0.000221629
soft,0.000212561
soft,0.000216583
soft,0.000192934
soft,0.000202805
soft,0.000191555
soft,0.000232917
soft,0.000201673
soft,0.000211794
soft,0.000189191
soft,0.000197679
soft,0.000203007
soft,0.000213941
soft,0.000204127
soft,0.000196368
soft,0.000227906
soft,0.00020939
soft,0.000192911
soft,0.000191965
soft,0.000198102
soft,0.000200959
soft,0.000215946
soft,0.00022423
soft,0.000234035
soft,0.000222153
soft,0.00022925
soft,0.000197326
soft,0.00023173
soft,0.000228005
soft,0.00020723
soft,0.000227095
soft,0.000231533
soft,0.000217568
soft,0.000203975
soft,0.000222229
soft,0.000233332
soft,0.000195932
soft,0.000207693
soft,0.000194818
soft,0.00019857
soft,0.000193335
soft,0.000198119
soft,0.000214768
soft,0.000194895
soft,0.000230886
soft,0.000194224
soft,0.000198555
soft,0.000196827
soft,0.000197007
soft,0.000199089
soft,0.000197804
soft,0.000193979
soft,0.000228571
soft,0.000205515
soft,0.000197449
soft,0.000212914
soft,0.000201647
soft,0.000216974
soft,0.000226993
soft,0.000202739
soft,0.000223668
soft,0.000194076
soft,0.000206518
soft,0.000194689
soft,0.000227272
soft,0.000221038
soft,0.000232667
soft,0.000206268
soft,0.000195005
soft,0.000217223
soft,0.000223077
soft,0.0002029
soft,0.000198178
soft,0.000214437
soft,0.000222878
soft,0.000191298
soft,0.000228938
soft,0.000231092
soft,0.000200896
soft,0.000205348
soft,0.00018364
soft,0.000208973
soft,0.000217807
soft,0.000228868
soft,0.000200696
soft,0.000220463
soft,0.000236107
soft,0.000194335
soft,0.000208436
soft,0.000223377
soft,0.000203771
soft,0.000215837
soft,0.000209229
soft,0.000193959
soft,0.000198274
soft,0.000204167
soft,0.000206773
soft,0.000228277
soft,0.000219851
soft,0.000191032
soft,0.000191043
soft,0.000234271
soft,0.00019212
soft,0.000218529
soft,0.00019497
soft,0.000234897
soft,0.000225293
soft,0.000204143
soft,0.000202914
soft,0.000234557
soft,0.000205423
soft,0.00023632
soft,0.000200907
soft,0.000192803
soft,0.000193922
soft,0.000196091
soft,0.000218129
soft,0.0002038
soft,0.000194775
soft,0.000198193
soft,0.000233998
soft,0.000194478
soft,0.000199936
soft,0.000200608
soft,0.0001928
soft,0.000203812
soft,0.000204182
soft,0.000227648
soft,0.000222609
soft,0.000193126
soft,0.000194731
soft,0.000219424
soft,0.000200642
soft,0.000189751
soft,0.000205213
soft,0.00022274
soft,0.000222647
soft,0.000223336
soft,0.0002339
soft,0.000206373
soft,0.000225338
soft,0.00020584
soft,0.000219951
soft,0.000194017
soft,0.000235931
soft,0.000206203
soft,0.000209993
soft,0.000196383
soft,0.000209851
soft,0.000200602
soft,0.00020545
soft,0.000193748
soft,0.000206861
soft,0.000192011
soft,0.000223547
soft,0.000195882
soft,0.000215444
soft,0.000196908
soft,0.000202869
soft,0.000213739
soft,0.000214633
soft,0.000188296
soft,0.00019087
soft,0.000197063
soft,0.000237093
soft,0.000212582
soft,0.000228817
soft,0.000193193
soft,0.000211517
soft,0.00021286
soft,0.000208839
soft,0.000198124
soft,0.00023704
soft,0.000232993
soft,0.00019879
soft,0.000227388
soft,0.00020656
soft,0.000216105
soft,0.000199807
soft,0.000203007
soft,0.000233095
soft,0.000228615
soft,0.000221994
soft,0.000213472
soft,0.000193363
soft,0.000195364
soft,0.000198774
soft,0.000231433
soft,0.000191773
soft,0.000205377
soft,0.000223923
soft,0.000226466
soft,0.000208861
soft,0.000193341
soft,0.00019833
soft,0.000234839
soft,0.000214374
soft,0.000220699
soft,0.000205067
soft,0.000204073
soft,0.000195041
soft,0.000202754
soft,0.000199111
soft,0.000209331
soft,0.000191339
soft,0.000237026
soft,0.000205588
soft,0.000191821
soft,0.00020562
soft,0.000191549
soft,0.000212932
soft,0.000222915
soft,0.000221401
soft,0.00019557
soft,0.000195732
soft,0.000231261
soft,0.000195708
soft,0.000226655
soft,0.000196329
soft,0.000203016
soft,0.000222586
soft,0.000233027
soft,0.00023388
soft,0.000208517
soft,0.000203094
soft,0.000192268
soft,0.000189363
soft,0.000232725
soft,0.000231283
soft,0.000197698
soft,0.000199487
soft,0.000200099
soft,0.000195628
soft,0.000215636
soft,0.0002344
soft,0.000206918
soft,0.000221821
soft,0.000205089
soft,0.000200067
soft,0.000200205
soft,0.000222076
soft,0.00021703
soft,0.000235244
soft,0.000206164
soft,0.000194192
soft,0.000215697
soft,0.00022324
soft,0.000197079
soft,0.000209993
soft,0.000197016
soft,0.000220983
soft,0.000188194
soft,0.000207469
soft,0.000197333
soft,0.000195049
soft,0.000212782
soft,0.000213093
soft,0.00019531
soft,0.000186881
soft,0.000215242
soft,0.000205559
soft,0.000203819
soft,0.00019233
soft,0.000207442
soft,0.000195743
soft,0.000196107
soft,0.000225639
soft,0.000193008
soft,0.000203051
soft,0.00020385
soft,0.000205318
soft,0.000202054
soft,0.000221849
soft,0.000205095
soft,0.000194147
soft,0.000231179
soft,0.000194148
soft,0.000197464
soft,0.000195743
soft,0.000218283
soft,0.000189769
soft,0.000206258
soft,0.000202455
soft,0.000196607
soft,0.000215346
soft,0.000192271
soft,0.000203897
soft,0.000220624
soft,0.00022214
soft,0.00021783
soft,0.000195582
soft,0.000224741
soft,0.000198975
