regime,theta,se
hard,-0.247588261,0.033264192
hard,-0.169661527,0.055107192
hard,-0.267569672,0.035365492
hard,-0.254169266,0.031035813
hard,-0.264502054,0.03588382
hard,-0.190311435,0.049040327
hard,-0.263201823,0.031264009
hard,-0.242276554,0.034002258
hard,-0.236735286,0.035853234
hard,-0.166128005,0.053900845
hard,-0.269494574,0.031692774
hard,-0.21922497,0.042266151
hard,-0.20102598,0.041581851
hard,-0.262281468,0.042725569
hard,-0.195860814,0.045831692
hard,-0.236994697,0.038632848
hard,-0.23155447,0.034761316
hard,-0.238154247,0.034635449
hard,-0.262174898,0.028640541
hard,-0.193573797,0.047253214
hard,-0.234759549,0.049997101
hard,-0.206758582,0.043321323
hard,-0.214060719,0.05305724
hard,-0.28178952,0.032796766
hard,-0.253468663,0.031959292
hard,-0.256558631,0.032937771
hard,-0.223727646,0.037936734
hard,-0.25752468,0.032970253
hard,-0.218780859,0.038606276
hard,-0.262143452,0.032359235
hard,-0.271571719,0.027564422
hard,-0.271842484,0.03407182
hard,-0.208004225,0.043086676
hard,-0.280883782,0.033725381
hard,-0.244610049,0.034188381
hard,-0.163448148,0.05214932
hard,-0.238716877,0.038803723
hard,-0.270620827,0.030435799
hard,-0.171567799,0.049429415
hard,-0.21891335,0.043298018
hard,-0.22302348,0.035917114
hard,-0.258242198,0.046993251
hard,-0.159151125,0.053822658
hard,-0.171547824,0.049384396
hard,-0.25450371,0.031855933
hard,-0.211309955,0.045300535
hard,-0.262915378,0.034443884
hard,-0.162366763,0.056894206
hard,-0.208599759,0.042091182
hard,-0.201167065,0.048869862
hard,-0.219550032,0.044980526
hard,-0.261382748,0.031461423
hard,-0.255624012,0.026707433
hard,-0.257067031,0.027052474
hard,-0.187417672,0.045812539
hard,-0.256122413,0.0269379
hard,-0.188846927,0.052432884
hard,-0.203361678,0.053012079
hard,-0.184252373,0.047274377
hard,-0.200268736,0.041198967
hard,-0.255082502,0.033476568
hard,-0.247842364,0.033305479
hard,-0.231695988,0.041558993
hard,-0.20374627,0.048250631
hard,-0.266971896,0.034726815
hard,-0.261292215,0.036872858
hard,-0.178148033,0.047821979
hard,-0.245372946,0.03236191
hard,-0.167994907,0.054127013
hard,-0.196423725,0.046917941
hard,-0.256251388,0.030702925
hard,-0.239626653,0.045783738
hard,-0.20572699,0.043969313
hard,-0.2803473,0.033389639
hard,-0.17667499,0.054440869
hard,-0.26161558,0.026070136
hard,-0.227329739,0.035530324
hard,-0.229171518,0.040645991
hard,-0.197479926,0.046052264
hard,-0.193046809,0.046206883
hard,-0.27714579,0.031766331
hard,-0.204064404,0.044828033
hard,-0.189838316,0.044020113
hard,-0.2095407,0.04213033
hard,-0.232446918,0.043270715
hard,-0.232255431,0.034397702
hard,-0.204878959,0.043852031
hard,-0.280913163,0.035227317
hard,-0.26134094,0.033230788
hard,-0.244090488,0.039678445
hard,-0.232978628,0.04235771
hard,-0.235982647,0.034365696
hard,-0.22562377,0.03984418
hard,-0.169785885,0.049726324
hard,-0.26286479,0.033279976
hard,-0.252349244,0.03424262
hard,-0.179935864,0.048866506
hard,-0.24827981,0.035426712
hard,-0.268029726,0.033752253
hard,-0.190866385,0.045707694
hard,-0.238353786,0.031505123
hard,-0.251857709,0.032012494
hard,-0.250044416,0.03307742
hard,-0.206353443,0.044456743
hard,-0.175515071,0.049608919
hard,-0.268851825,0.034778407
hard,-0.2464395,0.044493198
hard,-0.245936818,0.031984885
hard,-0.241228852,0.033448579
hard,-0.175786414,0.054293787
hard,-0.187470006,0.044285705
hard,-0.267525688,0.026544904
hard,-0.278095541,0.025576994
hard,-0.205868849,0.038857425
hard,-0.256414304,0.027711759
hard,-0.227250839,0.04115924
hard,-0.259209801,0.033438517
hard,-0.197958053,0.046507895
hard,-0.262332334,0.03208113
hard,-0.259988942,0.033571991
hard,-0.236158411,0.03526269
hard,-0.210712148,0.045222908
hard,-0.261459328,0.027468183
hard,-0.209943129,0.0472233
hard,-0.2843767,0.033666125
hard,-0.217647763,0.046789046
hard,-0.227641501,0.047139576
hard,-0.271004098,0.030672032
hard,-0.21277957,0.048030017
hard,-0.258209402,0.033727023
hard,-0.248772275,0.033926154
hard,-0.145235172,0.05882734
hard,-0.201238971,0.049361709
hard,-0.260273351,0.03292244
hard,-0.165555492,0.052836313
hard,-0.214381162,0.044497255
hard,-0.204327309,0.044083097
hard,-0.265655698,0.03499427
hard,-0.261013814,0.048797978
hard,-0.211587234,0.046001204
hard,-0.186761777,0.052963377
hard,-0.196114718,0.043365995
hard,-0.15720101,0.056463578
hard,-0.210012083,0.042055727
hard,-0.240829626,0.042223253
hard,-0.274480137,0.027151831
hard,-0.227002403,0.048881105
hard,-0.261289801,0.036781412
hard,-0.262899938,0.032641243
hard,-0.196057119,0.042620273
hard,-0.178026945,0.054991298
hard,-0.190578321,0.045131425
hard,-0.238441864,0.039518034
hard,-0.198788314,0.04184505
hard,-0.271242771,0.032479761
hard,-0.250885963,0.033954582
hard,-0.261487704,0.035822664
hard,-0.175885963,0.048424807
hard,-0.278547208,0.026920744
hard,-0.216604253,0.042217834
hard,-0.253906343,0.039533798
hard,-0.206881773,0.044220725
hard,-0.189730556,0.049254658
hard,-0.259578724,0.034324043
hard,-0.216930951,0.043014339
hard,-0.169976052,0.05255197
hard,-0.204113864,0.04124528
hard,-0.214676995,0.047042788
hard,-0.2640743,0.026513113
hard,-0.216286263,0.041172838
hard,-0.162596232,0.051179779
hard,-0.253993561,0.025809726
hard,-0.178074821,0.053804587
soft,-0.315173802,0.014790213
soft,-0.308624163,0.015159485
soft,-0.312676985,0.018724901
soft,-0.312096831,0.014652516
soft,-0.305227736,0.015275544
soft,-0.314557188,0.015034351
soft,-0.318489194,0.017141976
soft,-0.31303309,0.01476787
soft,-0.307999543,0.015160237
soft,-0.313112992,0.01525701
soft,-0.312616216,0.014950333
soft,-0.311948419,0.014674332
soft,-0.30959096,0.013827018
soft,-0.313881111,0.014848287
soft,-0.307863619,0.014644454
soft,-0.307885917,0.014085223
soft,-0.308202497,0.014029091
soft,-0.312760003,0.014835099
soft,-0.30601192,0.015183642
soft,-0.31210634,0.014786156
soft,-0.309879883,0.014550635
soft,-0.313213071,0.014942572
soft,-0.312685988,0.014591642
soft,-0.309721714,0.01418626
soft,-0.306015224,0.01396185
soft,-0.312765203,0.014668287
soft,-0.311678623,0.014913635
soft,-0.308186497,0.013893637
