regime,sigma.sq
soft,0.000167073
soft,0.000157581
soft,0.000155857
soft,0.000158618
soft,0.000159565
soft,0.000161429
soft,0.00016022
soft,0.00016014
soft,0.000158461
soft,0.000158522
soft,0.000158346
soft,0.000157707
soft,0.000159631
soft,0.000157856
soft,0.000158054
soft,0.000163379
soft,0.000158687
soft,0.000157946
soft,0.000159565
soft,0.000157998
soft,0.000163954
soft,0.000159887
soft,0.000157581
soft,0.000154874
soft,0.00015835
soft,0.000160496
soft,0.000159887
soft,0.00015835
soft,0.000157581
soft,0.000157918
soft,0.000158081
soft,0.000157998
soft,0.000158346
soft,0.000158117
soft,0.000159832
soft,0.000159565
soft,0.000156143
soft,0.000158117
soft,0.000158405
soft,0.000157581
soft,0.000158017
soft,0.000158017
soft,0.000158062
soft,0.000157585
soft,0.000155857
soft,0.000157925
soft,0.000157969
soft,0.00015945
soft,0.00016022
soft,0.000154781
soft,0.000156006
soft,0.00016022
soft,0.000156143
soft,0.000160605
soft,0.000160158
soft,0.000159932
soft,0.000157518
soft,0.000157585
soft,0.000157562
soft,0.000159632
soft,0.000158643
soft,0.000148399
soft,0.000157801
soft,0.000161429
soft,0.000157513
soft,0.000155267
soft,0.000159842
soft,0.000159565
soft,0.000157795
soft,0.000157925
soft,0.000157614
soft,0.000157614
soft,0.000158522
soft,0.00016026
soft,0.000161385
soft,0.00016022
soft,0.000157787
soft,0.000158117
soft,0.000158117
soft,0.000159565
soft,0.000166519
soft,0.000157581
soft,0.00014818
soft,0.000157515
soft,0.00015191
soft,0.000158751
soft,0.000155625
soft,0.000158346
soft,0.000159565
soft,0.000155857
soft,0.000168071
soft,0.000160496
soft,0.00015835
soft,0.000158751
soft,0.00015556
soft,0.000159995
soft,0.000161429
soft,0.000160234
soft,0.000159565
soft,0.000158069
soft,0.000161385
soft,0.00015853
soft,0.000155857
soft,0.000157581
soft,0.00015549
soft,0.000161429
soft,0.00015556
soft,0.000161375
soft,0.000159832
soft,0.000157562
soft,0.000159632
soft,0.000160183
soft,0.000160024
soft,0.000157876
soft,0.00016138
soft,0.000159887
soft,0.000158245
soft,0.00015777
soft,0.000157562
soft,0.000165923
soft,0.00015845
soft,0.000158059
soft,0.00016026
soft,0.00015867
soft,0.000159565
soft,0.000159501
soft,0.000159882
soft,0.000161239
soft,0.000159887
soft,0.000161221
soft,0.000158059
soft,0.000157513
soft,0.000157925
soft,0.000159501
soft,0.000161429
soft,0.000157776
soft,0.000156143
soft,0.000159565
soft,0.000159622
soft,0.000159882
soft,0.000159882
soft,0.000155892
soft,0.000158346
soft,0.000159832
soft,0.000155593
soft,0.00016101
soft,0.000157795
soft,0.000159882
soft,0.000158245
soft,0.000157969
soft,0.000160607
soft,0.00016101
soft,0.000159565
soft,0.00016026
soft,0.00015835
soft,0.000156143
soft,0.000156279
soft,0.000160019
soft,0.00015951
soft,0.000161097
soft,0.000159622
soft,0.000155925
soft,0.000161068
soft,0.000158117
soft,0.000161375
soft,0.000159939
soft,0.000155857
soft,0.00015951
soft,0.000157614
soft,0.00015835
soft,0.000159501
soft,0.000152051
soft,0.000155857
soft,0.000159711
soft,0.00015845
soft,0.000159565
soft,0.000160024
soft,0.000159882
soft,0.000161723
soft,0.000161379
soft,0.000155822
soft,0.000158117
soft,0.000156143
soft,0.000155964
soft,0.00015556
soft,0.000157969
soft,0.000159501
soft,0.000160019
soft,0.000152051
soft,0.000157969
soft,0.000155231
soft,0.00016026
soft,0.000157572
soft,0.000158643
soft,0.000161385
soft,0.000159501
soft,0.000158117
soft,0.000158346
soft,0.000157581
soft,0.000157946
soft,0.000159971
soft,0.000155593
soft,0.000161068
soft,0.000157946
soft,0.000159887
soft,0.000157801
soft,0.00015191
soft,0.000160234
soft,0.000152057
soft,0.00016014
soft,0.000160019
soft,0.000156223
soft,0.000160993
soft,0.000158751
soft,0.000168391
soft,0.000160203
soft,0.000157856
soft,0.000159842
soft,0.000158245
soft,0.000160307
soft,0.000158751
soft,0.000159887
soft,0.000158423
soft,0.000157581
soft,0.000158245
soft,0.000161424
soft,0.000158245
soft,0.000157636
soft,0.000158069
soft,0.00016014
soft,0.000158081
soft,0.000157925
soft,0.000157776
soft,0.00015777
soft,0.000158017
soft,0.000157513
soft,0.000165556
soft,0.000160203
soft,0.000155593
soft,0.000158054
soft,0.00015845
soft,0.000158461
soft,0.000157572
soft,0.000158751
soft,0.000157969
soft,0.000155857
soft,0.000156006
soft,0.000158461
soft,0.00016022
soft,0.000160454
soft,0.000152051
soft,0.000157513
soft,0.000161375
soft,0.000159932
soft,0.000161068
soft,0.000155964
soft,0.000161097
soft,0.000159971
soft,0.000157802
soft,0.00015867
soft,0.000157969
soft,0.000161375
soft,0.000155975
soft,0.000161723
soft,0.000158117
soft,0.000157925
soft,0.000157787
soft,0.00015556
soft,0.000157562
soft,0.000159565
soft,0.000157518
soft,0.00016022
soft,0.000158318
soft,0.000159711
soft,0.000157518
soft,0.000159887
soft,0.000161379
soft,0.00016014
soft,0.000158054
soft,0.00015845
soft,0.000158576
soft,0.000157671
soft,0.000157827
soft,0.000167493
soft,0.000166732
soft,0.000157795
soft,0.000160605
